"age","dispersed","mean","sd","low95","high95"
"H","D",0.75,0.02,0.7,0.79
"H","N",0.78,0.03,0.73,0.83
"F","D",0.7,0.03,0.64,0.77
"F","N",0.78,0.02,0.73,0.83
"A","D",0.79,0.03,0.74,0.85
"A","N",0.73,0.03,0.68,0.78
