"behavior","transition","mean","median","sd","low95","hihg95"
"D","HF",0.243460001744053,0.242126909586122,0.0197395932893283,0.284766829405073,0.206980397645774
"D","FA",0.235175419181194,0.233865874181538,0.0192432604812869,0.275630895434879,0.199820454009772
"N","HF",0.202017034139687,0.201739227777336,0.014001755256053,0.231402202044589,0.175490208970898
"N","FA",0.229172954791294,0.228970873077479,0.0153326142977806,0.260947551826226,0.199871876137563
